sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
221,Riqueza,Brasil,Santa Catarina,SC,"-53,32528621","-27,0675942",4215075,Exact,100
222,Rodeio,Brasil,Santa Catarina,SC,"-49,30470723","-26,94350167",4215109,Exact,100
223,Romelândia,Brasil,Santa Catarina,SC,"-53,3201584","-26,67946356",4215208,Exact,100
224,Salete,Brasil,Santa Catarina,SC,"-50,00173073","-26,97524433",4215307,Exact,100
225,Saltinho,Brasil,Santa Catarina,SC,"-53,05863125","-26,6085589",4215356,Exact,100
226,Salto Veloso,Brasil,Santa Catarina,SC,"-51,40520808","-26,90316461",4215406,Exact,100
227,Sangão,Brasil,Santa Catarina,SC,"-49,13402986","-28,63322292",4215455,Exact,100
228,Santa Cecília,Brasil,Santa Catarina,SC,"-50,42290162","-26,95690074",4215505,Exact,100
229,Santa Helena,Brasil,Santa Catarina,SC,"-53,61998787","-26,93984392",4215554,Exact,100
230,Santa Rosa de Lima,Brasil,Santa Catarina,SC,"-49,1250913","-28,0356056",4215604,Exact,100
231,Santa Rosa do Sul,Brasil,Santa Catarina,SC,"-49,71762637","-29,13528822",4215653,Exact,100
232,Santa Terezinha,Brasil,Santa Catarina,SC,"-50,00552919","-26,7809824",4215679,Exact,100
233,Santa Terezinha do Progresso,Brasil,Santa Catarina,SC,"-53,19984696","-26,6197756",4215687,Exact,100
234,Santiago do Sul,Brasil,Santa Catarina,SC,"-52,67594948","-26,6348091",4215695,Exact,100
235,Santo Amaro da Imperatriz,Brasil,Santa Catarina,SC,"-48,78023992","-27,68974776",4215703,Exact,100
236,São Bento do Sul,Brasil,Santa Catarina,SC,"-49,3869789","-26,24948542",4215802,Exact,100
237,São Bernardino,Brasil,Santa Catarina,SC,"-52,96553874","-26,4732782",4215752,Exact,100
238,São Bonifácio,Brasil,Santa Catarina,SC,"-48,92931196","-27,8964967",4215901,Exact,100
239,São Carlos,Brasil,Santa Catarina,SC,"-53,01739427","-27,07863508",4216008,Exact,100
240,São Cristovão do Sul,Brasil,Santa Catarina,SC,"-50,43462893","-27,28294667",4216057,Exact,100
241,São Domingos,Brasil,Santa Catarina,SC,"-52,53722747","-26,55783037",4216107,Exact,100
242,São Francisco do Sul,Brasil,Santa Catarina,SC,"-48,63757076","-26,24401788",4216206,Exact,100
243,São João Batista,Brasil,Santa Catarina,SC,"-48,85700428","-27,29588056",4216305,Exact,100
244,São João do Itaperiú,Brasil,Santa Catarina,SC,"-48,76776539","-26,61745405",4216354,Exact,100
245,São João do Oeste,Brasil,Santa Catarina,SC,"-53,59596668","-27,09748263",4216255,Exact,100
246,São João do Sul,Brasil,Santa Catarina,SC,"-49,80657139","-29,22347979",4216404,Exact,100
247,São Joaquim,Brasil,Santa Catarina,SC,"-49,93674176","-28,2947125",4216503,Exact,100
248,São José,Brasil,Santa Catarina,SC,"-48,61602272","-27,59031208",4216602,Exact,100
249,São José do Cedro,Brasil,Santa Catarina,SC,"-53,50012411","-26,4560603",4216701,Exact,100
250,São José do Cerrito,Brasil,Santa Catarina,SC,"-50,58138618","-27,6685865",4216800,Exact,100
251,São Lourenço do Oeste,Brasil,Santa Catarina,SC,"-52,85133367","-26,35519016",4216909,Exact,100
252,São Ludgero,Brasil,Santa Catarina,SC,"-49,17568432","-28,32689553",4217006,Exact,100
253,São Martinho,Brasil,Santa Catarina,SC,"-48,97778625","-28,16449529",4217105,Exact,100
254,São Miguel da Boa Vista,Brasil,Santa Catarina,SC,"-53,25455638","-26,6944751",4217154,Exact,100
255,São Miguel do Oeste,Brasil,Santa Catarina,SC,"-53,51883941","-26,72642718",4217204,Exact,100
256,São Pedro de Alcântara,Brasil,Santa Catarina,SC,"-48,78766959","-27,5671701",4217253,Exact,100
257,Saudades,Brasil,Santa Catarina,SC,"-52,99556973","-26,91975695",4217303,Exact,100
258,Schroeder,Brasil,Santa Catarina,SC,"-49,07325969","-26,42097591",4217402,Exact,100
259,Seara,Brasil,Santa Catarina,SC,"-52,30285483","-27,14569762",4217501,Exact,100
260,Serra Alta,Brasil,Santa Catarina,SC,"-53,04627634","-26,72477337",4217550,Exact,100
261,Siderópolis,Brasil,Santa Catarina,SC,"-49,42054093","-28,59510242",4217600,Exact,100
262,Sombrio,Brasil,Santa Catarina,SC,"-49,63421036","-29,10913276",4217709,Exact,100
263,Sul Brasil,Brasil,Santa Catarina,SC,"-52,9642048","-26,7369362",4217758,Exact,100
264,Taió,Brasil,Santa Catarina,SC,"-50,00509646","-27,1179373",4217808,Exact,100
265,Tangará,Brasil,Santa Catarina,SC,"-51,24591438","-27,1010111",4217907,Exact,100
266,Tigrinhos,Brasil,Santa Catarina,SC,"-53,15754198","-26,6894748",4217956,Exact,100
267,Tijucas,Brasil,Santa Catarina,SC,"-48,63207056","-27,23945361",4218004,Exact,100
268,Timbé do Sul,Brasil,Santa Catarina,SC,"-49,84411776","-28,83251749",4218103,Exact,100
269,Timbó,Brasil,Santa Catarina,SC,"-49,27771229","-26,82290257",4218202,Exact,100
